Stock_Name,Stock_Price,time
GOOGL,191.34,1753264484.086093
AAPL,214.4,1753264485.2120802
GOOGL,191.34,1753272711.347702
AAPL,214.4,1753272712.67656
GOOGL,191.34,1753273098.1140137
AAPL,214.4,1753273099.4628203
